"Dataset","Line","SampleName","Type","CalLevel","petn_pa","petn_qual57_pa","petn_qual76_pa","petn_qual57_ratio","petn_qual76_ratio","rdx_pa","rdx_qual46_pa","rdx_qual75_pa","rdx_qual46_ratio","rdx_qual75_ratio"
"Lab9",11,"6ng RDX PETN             ","Cal",6,123327.8341095,2549.96630260435,13278.104055689,0.0206763243757309,0.107665103758327,25302.3957935465,147415.99352747,55163.4002811134,5.82616740052217,2.18016510101321
"Lab9",12,"8ng RDX PETN             ","Cal",8,168918.042950172,4036.55004190872,18250.8634898772,0.0238965001690165,0.108045672156295,34816.352132194,196952.556285856,71419.0421077529,5.65689810173243,2.05130743842957
"Lab9",13,"10ng RDX PETN            ","Cal",10,226232.982228158,6155.867569554,24478.2934857862,0.0272103011193379,0.108199490828882,47996.8485296101,259705.403506714,93908.9261025553,5.41088449477047,1.95656441994564
"Steel-1",4,"0.2ng RDX PETN           ","Cal",0.2,4387.71662329449,NA,435.677345717991,NA,0.0992947774714916,1714.75577626097,11690.4535147449,9679.8405559288,6.81756182226484,5.64502577564469
"Steel-1",5,"2ng RDX PETN             ","Cal",2,24415.5573287293,NA,2500.322540047,NA,0.102406941049219,6889.67868361119,39164.8848025395,16138.719494716,5.6845734904449,2.34244878982614
"Steel-1",6,"4ng RDX PETN             ","Cal",4,49967.5433457583,NA,5208.2743029519,NA,0.10423314724345,13741.4600468234,73156.817540121,26997.8716353231,5.32380236822306,1.96470182523029
"Steel-1",7,"6ng RDX PETN             ","Cal",6,81124.6542609026,1131.23439328001,8536.39768018706,0.0139443970958801,0.105225689501658,22831.1497581319,115923.178739226,40522.1068844867,5.07741309427209,1.7748605442025
"Steel-1",8,"8ng RDX PETN             ","Cal",8,112197.531059336,356.474770771433,11932.4910612701,0.00317720690825995,0.106352527979957,31677.2529402581,155369.126061868,53586.0547429654,4.90475377883579,1.69162568623063
"Steel-1",9,"10ng RDX PETN            ","Cal",10,151144.173440487,782.706253495448,16121.0313491502,0.00517854069845199,0.106659959045645,43745.7688887179,207527.423041192,71907.4660413448,4.74394274721992,1.64375819348988
"Steel 2",4,"0.2ng RDX PETN           ","Cal",0.2,2132.59231991176,NA,278.299351819002,NA,0.130498149702854,612.064193991895,6237.86945213538,6624.91154284117,10.1915281327795,10.8238835205068
"Steel 2",5,"2ng RDX PETN             ","Cal",2,32334.5935227314,180.646232699996,3501.92462567302,0.00558677914330362,0.108302726094613,5209.84092357204,32582.6699685325,15259.205091227,6.25406234979488,2.9289195802863
"Steel 2",6,"4ng RDX PETN             ","Cal",4,63219.7873540091,1695.95191589788,6758.14575801304,0.0268262831445657,0.106899216857054,9886.12117259192,59219.6196022069,24575.5588364748,5.99017739802605,2.4858646184317
"Steel 2",7,"6ng RDX PETN             ","Cal",6,105684.523387983,4068.22497485257,11579.2069285619,0.0384940466629871,0.109563884638557,17328.4748978346,98797.1227100111,38896.3815361635,5.70143208173254,2.24465117475653
"Steel 2",8,"8ng RDX PETN             ","Cal",8,142037.567790748,3834.01079031694,15431.2850049451,0.0269929346858802,0.108642278553226,23191.9874685632,127746.592791524,49029.4590046004,5.50822101661985,2.1140688813781
"Steel 2",9,"10ng RDX PETN            ","Cal",10,184915.642626468,4856.94614021774,20563.0549234148,0.0262657397245123,0.111202354929769,31031.4313254093,167478.142580154,62975.7058093957,5.39704858676689,2.02941672747881
"Steel 3",6,"0.2ng RDX PETN           ","Cal",0.2,2772.11729610728,NA,303.513510393999,NA,0.109487975425933,742.351006254002,6995.28648067402,7802.57518284326,9.42315215004978,10.5106278796819
"Steel 3",7,"2ng RDX PETN             ","Cal",2,34092.3783872968,NA,3733.35957171501,NA,0.109507161081672,5977.57358424393,36391.1879755962,17172.2478847541,6.0879531573678,2.87277900351036
"Steel 3",8,"4ng RDX PETN             ","Cal",4,68369.4415248174,1900.04734042619,7420.802095208,0.0277908857824514,0.108539750065303,11222.010347746,64346.394356264,26639.3769111999,5.73394537719245,2.3738506814468
"Steel 3",9,"6ng RDX PETN             ","Cal",6,112323.190187665,3747.84776151948,12276.94767573,0.0333666427676932,0.109300204661372,20275.0020056204,110747.104024949,44599.8906595088,5.46224873340328,2.19974778040196
"Steel 3",10,"8ng RDX PETN             ","Cal",8,153888.689231871,4398.26874808904,17121.3009925651,0.0285808448303954,0.111257695923108,27466.4698871696,145252.833431024,56449.0670118292,5.28836920171077,2.05519920265393
"Steel 3",11,"10ng RDX PETN            ","Cal",10,200020.446593075,5897.14594824477,22239.9450172891,0.0294827156357771,0.111188357970895,35957.8535660664,186971.963957507,71396.8416872839,5.19975319477783,1.98557017748861
"Steel 4",6,"0.2ng RDX PETN           ","Cal",0.2,3092.95048008041,NA,346.70112862401,NA,0.112093979795951,481.603109597854,4451.60292313323,3058.39592222885,9.24330186914779,6.35044886812018
"Steel 4",7,"2ng RDX PETN             ","Cal",2,32309.0820314503,NA,3458.02299488795,NA,0.107029441180713,4161.3923834611,27843.0155958605,11969.7437965755,6.69079313609523,2.87637951281587
"Steel 4",8,"4ng RDX PETN             ","Cal",4,64566.6605198979,761.554638659955,6845.97470382198,0.0117948587169885,0.10602956152134,8246.11915013341,51505.8761942152,19575.9430212161,6.24607469968244,2.37395830266403
"Steel 4",9,"6ng RDX PETN             ","Cal",6,107556.76010739,605.772307322759,11551.5332435649,0.00563211746726032,0.107399416196911,16108.8282890729,94511.0783998983,35230.4122957894,5.86703618065182,2.18702513079038
"Steel 4",10,"8ng RDX PETN             ","Cal",8,145054.670640714,799.942224219368,15778.5779730451,0.00551476364522412,0.108776766052071,20887.6704642817,119303.14456176,42689.8197206914,5.71165390442992,2.04378079373149
"Steel 4",11,"10ng RDX PETN            ","Cal",10,188911.298234151,1177.38176986843,20799.3252986358,0.0062324582006159,0.110101012978353,27085.7073731434,151515.817321986,53321.9910159914,5.59393983087258,1.96863941123658
