"RetentionTime","TIC","Mass","Intensity"
276.33,11295,44,11295.68
276.58602,11232,44,11232.06
276.84102,11551,44,11551.57
277.09602,12049,44,12049.81
277.35102,12183,44,12183.82
277.60698,11847,44,11847.3
277.86198,11252,44,11252.11
278.11698,10741,44,10741.23
278.373,10670,44,10670.63
278.628,10971,44,10971.05
278.883,11257,44,11257.88
279.13902,11406,44,11406.57
279.39402,11513,44,11513.31
279.64902,11578,44,11578.56
279.90498,11508,44,11508.83
280.15998,11353,44,11353.56
280.41498,11317,44,11317.55
280.66998,11429,44,11429.53
280.926,11571,44,11571.47
281.181,11616,44,11616.19
281.436,11494,44,11494.38
281.691,11312,44,11312.12
281.94702,11156,44,11156.34
282.20202,11087,44,11087.33
282.45798,11204,44,11204.61
282.71298,11431,44,11431.29
282.96798,11694,44,11694.59
283.22298,11978,44,11978.74
283.479,12092,44,12092.32
283.734,11936,44,11936.11
283.989,11600,44,11600.47
284.24502,11258,44,11258.07
284.50002,11216,44,11216.44
284.75502,11548,44,11548.77
285.01098,11866,44,11866.63
285.26598,11801,44,11801.67
285.52098,11482,44,11482.8
285.77598,11219,44,11219.94
286.032,11055,44,11055.58
286.287,11073,44,11073.83
286.542,11412,44,11412.54
286.79802,11755,44,11755.75
287.05302,11735,44,11735.29
287.30802,11534,44,11534.2
287.56398,11494,44,11494.52
287.81898,11575,44,11575.06
288.07398,11428,44,11428.13
288.32898,11089,44,11089.1
288.585,11069,44,11069.73
288.84,11401,44,11401.6
289.095,11600,44,11600.29
289.35102,11614,44,11614.54
289.60602,11643,44,11643.63
289.86102,11549,44,11549.53
290.11698,11384,44,11384.32
290.37198,11552,44,11552.68
290.62698,11955,44,11955.86
290.88198,12047,44,12047.96
291.138,11724,44,11724.21
291.393,11397,44,11397.25
291.64902,11347,44,11347.1
291.90402,11355,44,11355.3
292.15902,11169,44,11169.72
292.41402,10919,44,10919.09
292.66998,10810,44,10810.56
292.92498,10890,44,10890.19
293.17998,11054,44,11054.28
293.43498,11085,44,11085.66
293.691,10898,44,10898.92
293.946,10652,44,10652.13
294.20202,10652,44,10652.74
294.45702,11074,44,11074.98
294.71202,11581,44,11581.14
294.96702,11779,44,11779.47
295.22298,11814,44,11814.39
295.47798,11889,44,11889.11
295.73298,11893,44,11893.78
295.98798,11873,44,11873.96
296.244,12050,44,12050.39
296.499,12316,44,12316.54
296.75502,12372,44,12372.16
297.01002,12171,44,12171.17
297.26502,11864,44,11864.02
297.52098,11586,44,11586.95
297.77598,11519,44,11519.66
298.03098,11629,44,11629.05
298.28598,11572,44,11572.69
298.54098,11356,44,11356.1
298.797,11315,44,11315.88
299.052,11413,44,11413.34
299.30802,11392,44,11392.19
299.56302,11189,44,11189.21
299.81802,10929,44,10929.01
300.07398,10838,44,10838.41
300.32898,10913,44,10913.76
300.58398,11054,44,11054.12
300.83898,11326,44,11327
301.09398,11641,44,11641.4
301.35,11787,44,11787.59
301.605,11771,44,11771.03
301.86102,11706,44,11706.08
302.11602,11611,44,11611.24
302.37102,11483,44,11483.56
302.62698,11452,44,11452.02
302.88198,11543,44,11543.54
303.13698,11483,44,11483.4
303.39198,11231,44,11231.65
303.648,11141,44,11141.29
303.903,11329,44,11329.54
304.158,11654,44,11654.66
304.41402,12046,44,12046.3
304.66902,12270,44,12270.26
304.92402,12104,44,12104.83
305.17998,11797,44,11797.41
305.43498,11575,44,11575.08
305.68998,11354,44,11354.48
305.94498,11185,44,11185.58
306.201,11227,44,11227.06
306.456,11465,44,11465.07
306.711,11665,44,11665.88
306.96702,11607,44,11607.94
307.22202,11434,44,11434.43
307.47702,11311,44,11311.54
307.73298,11143,44,11143.53
307.98798,11004,44,11004.15
308.24298,11030,44,11030.91
308.49798,11180,44,11180.15
308.754,11392,44,11392.54
309.009,11523,44,11523.96
309.264,11525,44,11525.73
309.52002,11573,44,11573.22
309.77502,11625,44,11625.21
310.03002,11494,44,11494.52
310.28598,11238,44,11238.66
310.54098,11103,44,11103.6
310.79598,11313,44,11313.52
311.05098,11737,44,11737.03
311.307,11967,44,11967.66
311.562,11869,44,11869.39
311.81802,11646,44,11646.72
313.40298,11953,44,11953.38
313.62798,11751,44,11751.16
313.85502,11527,44,11527.13
314.082,11609,44,11609.6
314.30802,11828,44,11828.47
314.56398,11885,44,11885.68
314.82,11857,44,11857.26
315.075,11786,44,11786.85
315.33,11619,44,11619.04
315.585,11547,44,11547.16
315.84102,11679,44,11679.38
316.09698,11772,44,11772.77
316.35198,11692,44,11692.68
316.60698,11578,44,11578.26
316.86198,11512,44,11512.98
317.118,11471,44,11471.69
317.37402,11401,44,11401.8
317.62902,11257,44,11257.54
317.88402,11252,44,11252.91
318.13902,11525,44,11525.19
318.39498,11656,44,11656.98
318.651,11579,44,11579.57
318.906,11803,44,11803.66
319.161,12139,44,12139.27
319.416,12113,44,12113.35
319.67202,11944,44,11944.27
319.92798,11700,44,11700.94
320.18298,11273,44,11273.27
320.43798,11111,44,11111.97
320.69298,11394,44,11394.74
320.949,11580,44,11580.79
