Label,Lngx,Laty,Continent,ID
Cambridge USA,-71.12,42.38,Americas,Cambridge USA
Reykjavik Iceland,-21.92,64.14,Europe,Reykjavik Iceland
Boulder USA,-105.25,40.03,Americas,Boulder USA
Seattle USA,-122.35,47.62,Americas,Seattle USA
Kanpur India,80.33,26.47,Asia,Kanpur India
Qingdao China,120.32,36.07,Asia,Qingdao China
Hillsboro USA,-122.94,45.53,Americas,Hillsboro USA
Dongguan China,113.73,23.05,Asia,Dongguan China
Amravati India,77.76,20.95,Asia,Amravati India
Newcastle Australia,151.75,-32.92,Oceania,Newcastle Australia
Wayne USA,-74.25,40.95,Americas,Wayne USA
Lincoln USA,-96.69,40.82,Americas,Lincoln USA
Cergy France,2.07,49.04,Europe,Cergy France
Pontoise France,2.09,49.05,Europe,Pontoise France
Varanasi India,83.01,25.32,Asia,Varanasi India
Gainesville USA,-82.34,29.67,Americas,Gainesville USA
Budapest Hungary,19.08,47.51,Europe,Budapest Hungary
Baoding China,115.48,38.87,Asia,Baoding China
Dalian China,121.65,38.92,Asia,Dalian China
Kitakyushu Japan,130.86,33.88,Asia,Kitakyushu Japan
Huainan China,116.98,32.63,Asia,Huainan China
Marrakesh Morocco,-8,31.63,Africa,Marrakesh Morocco
Wollongong Australia,150.87,-34.42,Oceania,Wollongong Australia
Buffalo USA,-78.86,42.89,Americas,Buffalo USA
Leeds UK,-1.55,53.81,Europe,Leeds UK
Cagliari Italy,9.1,39.22,Europe,Cagliari Italy
Panzhihua China,101.68,26.58,Asia,Panzhihua China
Tallahassee USA,-84.28,30.46,Americas,Tallahassee USA
Hohhot China,111.64,40.82,Asia,Hohhot China
Marseille France,5.37,43.31,Europe,Marseille France
Wuxi China,120.3,31.58,Asia,Wuxi China
Balashikha Russia,37.95,55.8,Europe,Balashikha Russia
Xian China,108.9,34.27,Asia,Xian China
Lugo Spain,-7.56,43.02,Europe,Lugo Spain
Ferrol Spain,-8.24,43.49,Europe,Ferrol Spain
Denver USA,-104.87,39.77,Americas,Denver USA
Sacramento USA,-121.47,38.57,Americas,Sacramento USA
Canberra Australia,149.13,-35.31,Oceania,Canberra Australia
Geelong Australia,144.32,-38.14,Oceania,Geelong Australia
Littleton USA,-105.01,39.59,Americas,Littleton USA
Antofagasta Chile,-70.39,-23.65,Americas,Antofagasta Chile
Bologna Italy,11.34,44.5,Europe,Bologna Italy
Rho Italy,9.04,45.54,Europe,Rho Italy
Chieri Italy,7.82,45.03,Europe,Chieri Italy
Yangzhou China,119.43,32.4,Asia,Yangzhou China
Lausanne Switzerland,6.62,46.52,Europe,Lausanne Switzerland
Sion Switzerland,7.35,46.25,Europe,Sion Switzerland
Helsinki Finland,24.94,60.17,Europe,Helsinki Finland
Leipzig Germany,12.4,51.35,Europe,Leipzig Germany
Huntington USA,-82.43,38.41,Americas,Huntington USA
Riverside USA,-117.4,33.94,Americas,Riverside USA
Kano Nigeria,8.52,12,Africa,Kano Nigeria
Abuja Nigeria,7.17,9.18,Africa,Abuja Nigeria
Chartres France,1.48,48.46,Europe,Chartres France
Xiangtan China,112.9,27.85,Asia,Xiangtan China
Yancheng China,120.12,33.39,Asia,Yancheng China
Odense Denmark,10.38,55.4,Europe,Odense Denmark
Hainan China,106.83,39.3,Asia,Hainan China
Haikou China,102.6,24.84,Asia,Haikou China
Coimbra Portugal,-8.43,40.22,Europe,Coimbra Portugal
Guildford UK,-0.58,51.24,Europe,Guildford UK
Trento Italy,11.12,46.08,Europe,Trento Italy
Shizuoka Japan,138.39,34.98,Asia,Shizuoka Japan
Hamamatsu Japan,137.73,34.72,Asia,Hamamatsu Japan
Berlin Germany,13.38,52.52,Europe,Berlin Germany
Zacatecas Mexico,-102.58,22.78,Americas,Zacatecas Mexico
Bergen Norway,5.34,60.38,Europe,Bergen Norway
Rome Italy,12.5,41.89,Europe,Rome Italy
Bushehr Iran,50.83,28.92,Asia,Bushehr Iran
Hidalgo Mexico,-105.67,26.93,Americas,Hidalgo Mexico
Provo USA,-111.64,40.25,Americas,Provo USA
Chengdu China,104.07,30.67,Asia,Chengdu China
Sheffield UK,-1.48,53.39,Europe,Sheffield UK
Lanzhou China,103.68,36.05,Asia,Lanzhou China
Urumqi China,87.58,43.8,Asia,Urumqi China
Delft Netherlands,4.36,52.01,Europe,Delft Netherlands
