"RunID","Surface_type","Study","Target","Mean_Pressure","RSD_Pressure","Stable_Time_Pct","Flag_15Pct_Outlier","Success","analysis_accepted","PETN_Recovery_pct","RDX_Recovery_pct","QC_Status","Pressure_Outlier"
"PILOT_031","steel","Pilot",200,178.162693726937,2.08304640462512,16.7120276006377,FALSE,TRUE,"PASS",25.1726367827308,23.8686577900681,"PASS",FALSE
"PILOT_015","abs","Pilot",NA,NA,NA,NA,NA,NA,"PASS",1.70433199081824,3.98730829339124,"PASS",FALSE
"PILOT_020","abs","Pilot",NA,NA,NA,NA,NA,NA,"PASS",3.02945434319528,6.40823237126856,"PASS",FALSE
"PILOT_026","abs","Pilot",200,192.812283464567,1.29727220202823,14.531788286877,FALSE,TRUE,"PASS",5.64441283574007,7.76206345496088,"PASS",FALSE
"PILOT_002","steel","Pilot",200,195.701472275335,1.56909437152713,14.6462455950116,FALSE,TRUE,"PASS",22.2730786790792,16.7154462853239,"PASS",FALSE
"PILOT_003","steel","Pilot",50,49.2716353887399,4.0631011214658,27.4287362003615,FALSE,TRUE,"PASS",11.3819351909408,8.47374663029195,"PASS",FALSE
"PILOT_006","steel","Pilot",200,203.029372384937,2.08771754827475,14.3432979749272,FALSE,TRUE,"PASS",26.275797748353,14.6190666484851,"PASS",FALSE
"PILOT_012","steel","Pilot",50,49.6175596330275,4.89925360254582,33.5241301907955,FALSE,TRUE,"PASS",13.2833541640552,13.4417490941532,"PASS",FALSE
"PILOT_019","abs","Pilot",50,52.534246031746,3.24679078032333,35.9322610052676,FALSE,TRUE,"PASS",12.1719760466544,8.21556770266146,"PASS",FALSE
"PILOT_022","abs","Pilot",50,44.6387128712871,3.51470107812731,37.4963880288944,FALSE,TRUE,"PASS",15.3982240882472,7.10548258416339,"PASS",FALSE
"PILOT_030","steel","Pilot",50,42.3769578313253,4.55868816941651,26.0103858895147,TRUE,TRUE,"PASS",11.2585324419148,7.49984225051661,"PASS",TRUE
